param;mg/L
DO1100;13.21
DO1100;13.11
DO1100;13.17
DO1100;13.14
DO1100;13.16
DO1100;13.12
DO1100;13.10
DO1100;13.14
DO1100;13.10
DO1100;13.10
DO1100;13.06
DO1100;13.16
DO1100;13.12
DO1100;13.13
DO1100;13.18
DO1100;13.13
DO1100;13.10
DO1100;13.15
DO1100;13.12
DO1100;13.10
DO1100;13.16
DO1100;13.15
DO1100;13.10
DO1100;13.12
DO1100;13.18
DO1100;13.23
DO1100;13.22
DO1100;13.21
DO1100;13.20
DO1100;13.20
DO1100;13.19
DO1100;13.22
DO1100;13.21
DO1100;13.25
DO1100;13.19
DO1100;13.20
DO1100;13.20
DO1100;13.25
DO1100;13.20
DO1100;13.22
DO1100;13.24
DO1100;13.22
DO1100;13.26
DO1100;13.24
DO1100;13.25
DO1100;13.25
DO1100;13.26
DO1100;13.21
DO1100;13.24
DO1100;13.25
DO1100;13.33
DO1100;13.29
DO1100;13.30
DO1100;13.34
DO1100;13.34
DO1100;13.29
DO1100;13.30
DO1100;13.30
DO1100;13.28
DO1100;13.34
DO1100;13.29
DO1100;13.27
DO1100;13.29
DO1100;13.28
DO1100;13.31
DO1100;13.31
DO1100;13.31
DO1100;13.29
DO1100;13.31
DO1100;13.32
DO1100;13.30
DO1100;13.36
DO1100;13.41
DO1100;13.36
DO1100;13.40
DO1100;13.36
DO1100;13.36
DO1100;13.42
DO1100;13.38
DO1100;13.42
DO1100;13.39
DO1100;13.41
DO1100;13.35
DO1100;13.36
DO1100;13.40
DO1100;13.36
DO1100;13.41
DO1100;13.44
DO1100;13.45
DO1100;13.40
DO1100;13.38
DO1100;13.38
DO1100;13.46
DO1100;13.37
DO1100;13.35
DO1100;13.37
DO1100;13.38
DO1100;13.36
DO1100;13.34
DO1100;13.41
DO1100;13.39
DO1100;13.48
DO1100;13.38
DO1100;13.43
DO1100;13.44
DO1100;13.45
DO1100;13.42
DO1100;13.45
DO1100;13.40
DO1100;13.44
DO1100;13.42
DO1100;13.42
DO1100;13.45
DO1100;13.46
DO1100;13.47
DO1100;13.44
DO1100;13.46
DO1100;13.46
DO1100;13.42
DO1100;13.49
DO1100;13.46
DO1100;13.43
DO1100;13.39
DO1100;13.39
DO1100;13.42
DO1100;13.44
DO1100;13.43
DO1100;13.45
DO1100;13.44
DO1100;13.47
DO1100;13.45
DO1100;13.44
DO1100;13.45
DO1100;13.46
DO1100;13.43
DO1100;13.47
DO1100;13.48
DO1100;13.47
DO1100;13.45
DO1100;13.47
DO1100;13.47
DO1100;13.45
DO1100;13.46
DO1100;13.48
DO1100;13.42
DO1100;13.43
DO1100;13.42
DO1100;13.38
DO1100;13.42
DO1100;13.45
DO1100;13.45
DO1100;13.41
DO1100;13.42
DO1100;13.40
DO1100;13.45
DO1100;13.49
DO1100;13.46
DO1100;13.46
DO1100;13.45
DO1100;13.43
DO1100;13.44
DO1100;13.44
DO1100;13.47
DO1100;13.45
DO1100;13.44
DO1100;13.45
DO1100;13.41
DO1100;13.48
DO1100;13.41
DO1100;13.42
DO1100;13.45
DO1100;13.49
DO1100;13.49
DO1100;13.44
DO1100;13.45
DO1100;13.48
DO1100;13.44
DO1100;13.42
DO1100;13.41
DO1100;13.38
DO1100;13.45
DO1100;13.42
DO1100;13.43
DO1100;13.37
DO1100;13.46
DO1100;13.46
DO1100;13.48
DO1100;13.44
DO1100;13.50
DO1100;13.48
DO1100;13.49
DO1100;13.50
DO1100;13.42
DO1100;13.49
DO1100;13.44
DO1100;13.48
DO1100;13.48
DO1100;13.43
DO1100;13.49
DO1100;13.53
DO1100;13.45
DO1100;13.45
DO1100;13.41
DO1100;13.43
DO1100;13.47
DO1100;13.45
DO1100;13.44
DO1100;13.46
DO1100;13.45
DO1100;13.39
DO1100;13.49
DO1100;13.40
DO1100;13.41
DO1100;13.41
DO1100;13.47
DO1100;13.46
DO1100;13.42
DO1100;13.43
DO1100;13.42
DO1100;13.46
DO1100;13.39
DO1100;13.38
DO1100;13.47
DO1100;13.39
DO1100;13.42
DO1100;13.41
DO1100;13.45
DO1100;13.41
DO1100;13.44
DO1100;13.49
DO1100;13.39
DO1100;13.37
DO1100;13.42
DO1100;13.39
DO1100;13.39
